match id,entity,subj,count,positive,negative,neutral,positive_
473612,Marquez,Ivan Marquez,3,1.3333333333333333,2,1,0
473579,Marco Tol,Marco Tol,3,2.6666666666666665,0,3,0
473272,Darts,Deroy Duarte,3,1.0,3,0,0
473579,Gudmundsson,Albert Gudmundsson,3,1.0,3,0,0
473582,Tieme,Siemen Voet,3,2.3333333333333335,2,0,1
473619,Nikolai Laursen,Nikolai Laursen,3,5.0,0,0,3
473272,I Verrips,Michael Verrips,3,3.6666666666666665,1,0,2
473272,JansseBagge,Roel Janssen,3,1.0,3,0,0
473621,Ajax   ,Ajax,3,3.6666666666666665,1,0,2
473272,Geel,George Cox,3,3.6666666666666665,1,0,2
473579,Ter Heide,Jasper ter Heide,3,2.3333333333333335,2,0,1
473582,Woudenberg,Lucas Woudenberg,3,3.3333333333333335,1,1,1
473612,News,Reiss Nelson,3,5.0,0,0,3
473582,Zuurder,Erwin Mulder,3,5.0,0,0,3
473272,HEAOSittard,Fortuna Sittard,3,1.0,3,0,0
473272,Hansson,Emil Hansson,3,3.0,0,3,0
473590,VV Twenthe,FC Twente,3,3.3333333333333335,0,2,1
473560,Vites,Vitesse,3,3.6666666666666665,0,2,1
473272,Roel Janssen,Roel Janssen,3,2.3333333333333335,2,0,1
473560,Vitesse Groningen,FC Groningen,3,3.6666666666666665,1,0,2
473638,Auassar,Adil Auassar,3,1.3333333333333333,2,1,0
473590,Willem II Tilburg,Willem II,3,1.3333333333333333,2,1,0
473638,Breda,Bryan Smeets,3,3.0,1,1,1
473619,Boyd Lucassen,Boyd Lucassen,3,1.0,3,0,0
473619,Elias Sierra,Elias Sierra,3,5.0,0,0,3
473619,Elvis,Elias Sierra,3,3.3333333333333335,1,1,1
473590,Khlert,Mats Koehlert,3,1.0,3,0,0
473272,twee,Sjors Ultee,3,1.6666666666666667,2,1,0
473560,Suslov,Tomas Suslov,3,5.0,0,0,3
473560,Strand Larsen,Joergen Strand Larsen,3,3.6666666666666665,1,0,2
473590,Kiel,Miquel Nelom,3,1.6666666666666667,2,1,0
473590,Roemeratoe,Godfried Roemeratoe,3,2.3333333333333335,2,0,1
473590,Kohlert,Mats Koehlert,3,1.0,3,0,0
473272,Van der Venne,Richard van der Venne,3,1.6666666666666667,2,1,0
473560,SV FC Groningen,FC Groningen,3,4.0,0,1,2
473638,France,Henk Fraser,3,4.0,0,2,1
473638,Onderg,Sander van de Streek,3,4.0,0,2,1
473560,LCFC,FC Groningen,3,3.6666666666666665,1,0,2
473590,Owusu,Leeroy Owusu,3,1.0,3,0,0
473619,Belgian,Delano Burgzorg,3,3.6666666666666665,1,0,2
473590,Matzy,Mats Koehlert,3,1.6666666666666667,2,1,0
473638,Fighter,Hidde ter Avest,3,3.3333333333333335,1,1,1
473638,Nintendo,Quinten Timber,3,3.3333333333333335,1,1,1
473621,Damplein,Daley Blind,3,2.3333333333333335,2,0,1
473560,Fc Groningen,FC Groningen,3,4.333333333333333,0,1,2
473560,Muse,Matus Bero,3,4.333333333333333,0,1,2
473590,Tilburger,Mees Hilgers,3,1.0,3,0,0
473612,DeFeijenoorder,Feyenoord,3,4.0,0,2,1
473621,week,Philipp Mwene,3,2.3333333333333335,1,2,0
473590,FC Twente     Likes to game,FC Twente,3,1.6666666666666667,2,1,0
473560,Abraham,Paulos Abraham,3,3.3333333333333335,1,1,1
473560,Darten,Laros Duarte,3,4.333333333333333,0,1,2
473590,Timon Wellenreuther,Timon Wellenreuther,3,2.3333333333333335,2,0,1
473590,Vuelta,Michel Vlap,3,1.6666666666666667,2,1,0
473560,Dutch Hammer,Wessel Dammers,3,2.3333333333333335,2,0,1
473560,Bero,Matus Bero,3,2.3333333333333335,2,0,1
473590,FC Twente and Liverpool,FC Twente,3,1.0,3,0,0
473590,Twee,FC Twente,3,1.0,3,0,0
473590,FC,FC Twente,3,1.0,3,0,0
473619,Decaan,Delano Burgzorg,3,2.3333333333333335,2,0,1
473560,twee,Mike te Wierik,3,3.3333333333333335,1,1,1
473638,LFC,FC Utrecht,3,3.3333333333333335,1,1,1
473621,Aja,Ajax,2,2.0,1,1,0
473590,Ricky van Wolfswinkel,Ricky van Wolfswinkel,2,1.0,2,0,0
473582,Eliano Reijnders,Eliano Reijnders,2,1.0,2,0,0
473590,Oosterhout,Jayden Oosterwolde,2,1.0,2,0,0
473612,Rogier Meijer,Rogier Meijer,2,4.0,0,2,0
473590,acmilan,Vaclav Cerny,2,3.0,1,0,1
473612,NEC   Feyenoord,Feyenoord,2,1.0,2,0,0
473612,NEC   ,NEC Nijmegen,2,3.0,1,0,1
473612,Prince,Arne Slot,2,3.0,1,0,1
473582,Dick,Dick Schreuder,2,3.0,1,0,1
473590,Sven,Max Svensson,2,2.0,1,1,0
473590,Rock,Rick Zuijderwijk,2,1.5,1,1,0
473621,Daley,Daley Blind,2,2.0,1,1,0
473590,Wriedt,Fred Grim,2,1.5,1,1,0
473612,Kokcu,Orkun Kokcu,2,1.5,1,1,0
473590,Troupee,Giovanni Troupee,2,1.0,2,0,0
473621,Cody Gakpo,Cody Gakpo,2,1.0,2,0,0
473582,Finland,Milan van Ewijk,2,2.5,0,2,0
473621,Ajax   Froemel,Ajax,2,5.0,0,0,2
473582,Mees,Mees de Wit,2,1.0,2,0,0
473582,Maikel van der Werff,Maikel van der Werff,2,1.0,2,0,0
473582,Jansen,Johnny Jansen,2,2.0,1,1,0
473582,Pec Zwolle,PEC Zwolle,2,5.0,0,0,2
473582,Luceber   Ericx,Lucas Woudenberg,2,1.0,2,0,0
473621,Brabant,Brian Brobbey,2,3.5,0,2,0
473582,Jasper      Zwolle,PEC Zwolle,2,4.0,0,2,0
473590,Saglam,Goerkem Saglam,2,1.0,2,0,0
473612,janssen vi,Thijs Jansen,2,2.0,1,1,0
473590,Mats,Mats Koehlert,2,3.0,0,2,0
473582,Peize,Pelle Clement,2,1.0,2,0,0
473619,Luuk Brouwers,Luuk Brouwers,2,2.0,1,1,0
473619,Noah Fadiga,Noah Fadiga,2,2.0,1,1,0
473612,Toornstra,Jens Toornstra,2,2.0,1,1,0
473612,Trauner,Gernot Trauner,2,2.0,1,1,0
473590,Fredje,Fred Grim,2,3.0,0,2,0
473619,Andries,Andries Noppert,2,4.0,0,1,1
473612,Cas Odenthal,Cas Odenthal,2,2.0,0,2,0
473619,Marco Rente,Marco Rente,2,4.0,0,2,0
473590,1Twente,FC Twente,2,2.0,1,1,0
473590,AZ   Twente und mehr,FC Twente,2,4.0,0,1,1
473619,Kroes,Koen Bucker,2,3.0,1,0,1
473590,Brown,Jorn Brondeel,2,1.0,2,0,0
473619,Joris Kramer,Joris Kramer,2,1.0,2,0,0
473612,Varkenoord Fanboy,Feyenoord,2,5.0,0,0,2
473590,Cerny,Vaclav Cerny,2,2.5,1,1,0
473590,Cleonise,Denilho Cleonise,2,1.5,1,1,0
473612,Drenthe,Denzel Hall,2,2.0,1,1,0
473612,Eerste,Guus Gertsen,2,1.5,1,1,0
473590,Drie,Dries Saddiki,2,3.0,1,0,1
473590,Driess Saddiki,Dries Saddiki,2,3.0,0,2,0
473590,Elton,Elton Kabangu,2,1.0,2,0,0
473590,VJournaal,Jorn Brondeel,2,1.0,2,0,0
473590,Europese,Giovanni Troupee,2,1.0,2,0,0
473590,Grkem Saglam,Goerkem Saglam,2,1.0,2,0,0
473590,Ivey Passion,Max Svensson,2,3.0,0,2,0
473619,Giacomo Quagliata,Giacomo Quagliata,2,1.0,2,0,0
473619,Vake,Justin Bakker,2,5.0,0,0,2
473612,Jens,Jens Toornstra,2,1.0,2,0,0
473582,Redan,Daishawn Redan,2,3.0,1,0,1
473582,Reijnders,Eliano Reijnders,2,3.5,0,2,0
473590,fc twente,FC Twente,2,3.0,1,0,1
473612,Sinisterra,Luis Sinisterra,2,3.0,0,2,0
473619,Giro,Go Ahead Eagles,2,1.5,1,1,0
473590,Erwin,Luca Everink,2,3.0,0,2,0
473619,drie,Andries Noppert,2,3.0,0,2,0
473619,acuse,Nikolai Laursen,2,3.0,1,0,1
473590,Laura,Luca Everink,2,2.0,1,1,0
473582,Van Wermeskerken,Sai van Wermeskerken,2,1.5,1,1,0
473619,Ogechika,Ogechika Heil,2,1.0,2,0,0
473612,Guus Til,Guus Til,2,4.0,0,1,1
473612,Goffert,Gernot Trauner,2,4.5,0,1,1
473612,Geertruida,Lutsharel Geertruida,2,2.0,1,1,0
473619,Oratmangoen,Ragnar Oratmangoen,2,2.5,1,1,0
473619,Bayern,Justin Bakker,2,5.0,0,0,2
473590,Kampetsis,Argyris Kampetsis,2,1.0,2,0,0
473590,Jolien,Jorn Brondeel,2,1.0,2,0,0
473612,Tessa,Reiss Nelson,2,3.0,1,0,1
473590,on tour,Connor van den Berg,2,2.0,1,1,0
473590,twente,FC Twente,2,2.0,1,1,0
473590,Elton Kabangu,Elton Kabangu,2,2.0,1,1,0
473272,Adewoye,Shawn Adewoye,2,1.0,2,0,0
473638,Coremans,Tim Coremans,2,5.0,0,0,2
473579,Owen Wijndal,Owen Wijndal,2,3.0,1,0,1
473560,Houwen,Jeroen Houwen,2,2.0,1,1,0
473560,Kasanwirjo,Neraysho Kasanwirjo,2,4.5,0,1,1
473560,Koen,Jeroen Houwen,2,5.0,0,0,2
473560,Meijer,Bjorn Meijer,2,1.5,1,1,0
473560,Te Wierik,Mike te Wierik,2,2.5,0,2,0
473638,Dalmau,Adrian Dalmau,2,2.0,1,1,0
473560,Tony,Toni Domgjoni,2,5.0,0,0,2
473560,Vitessefan,Vitesse,2,2.0,1,1,0
473560,Vroegh,Patrick Vroegh,2,3.0,0,2,0
473560,afrika,Patrick Vroegh,2,1.5,1,1,0
473560,flatertje van Leeuwenburgh,Peter Leeuwenburgh,2,3.0,0,2,0
473560,gemeente Groningen,FC Groningen,2,2.0,1,1,0
473560,ierland,Enrico Hernandez,2,1.5,1,1,0
473638,27jr Sparta,Sparta Rotterdam,2,1.0,2,0,0
473621,twee,Philipp Mwene,2,4.0,0,1,1
473560,tien,Mike te Wierik,2,5.0,0,0,2
473560,vier,Marin Sverko,2,1.0,2,0,0
473579,Alkmaarders,AZ Alkmaar,2,3.5,0,2,0
473621,Tadic,Dusan Tadic,2,4.0,0,1,1
473621,Sneek,Jenson Seelt,2,5.0,0,0,2
473579,Dani de Wit,Dani de Wit,2,2.5,1,1,0
473579,Doke Schmidt,Doke Schmidt,2,2.0,1,1,0
473579,Doodemans,Nick Doodeman,2,1.0,2,0,0
473579,Janny,Pascal Jansen,2,3.0,1,0,1
473579,Johnny Jansen,Pascal Jansen,2,4.0,0,1,1
473579,Kiss,Tamas Kiss,2,1.0,2,0,0
473579,Mac Intosch,Calvin Mac-Intosch,2,1.0,2,0,0
473621,Nico Tagliafico,Nicolas Tagliafico,2,2.0,1,1,0
473579,Michael Breij,Michael Breij,2,1.0,2,0,0
473560,Geel,Wessel Dammers,2,2.5,0,2,0
473638,Kick,Rick Meissen,2,5.0,0,0,2
473560,Dasa,Eliazer Dasa,2,2.5,1,1,0
473638,Rotterdamse,Sparta Rotterdam,2,1.0,2,0,0
473638,no Sparta,Sparta Rotterdam,2,1.0,2,0,0
473272,Antifa,Vurnon Anita,2,5.0,0,0,2
473272,Cox,George Cox,2,1.0,2,0,0
473272,Eerste,Yigit Emre Celtik,2,4.5,0,1,1
473638,Vrees,Bart Vriends,2,1.0,2,0,0
473638,Van der Streek,Sander van de Streek,2,5.0,0,0,2
473272,Fortunees,Fortuna Sittard,2,1.0,2,0,0
473638,Utrechters,FC Utrecht,2,1.0,2,0,0
473272,I Kramer,Michiel Kramer,2,2.0,1,1,0
473272,I Noslin,Tijjani Noslin,2,1.0,2,0,0
473272,Johannson,Ryan Johansson,2,3.0,0,2,0
473272,Michiel,Michiel Kramer,2,1.0,2,0,0
473272,Nieuwpoort,Lars Nieuwpoort,2,1.0,2,0,0
473272,RKC Waalwijk   ,RKC Waalwijk,2,1.0,2,0,0
473560,Danny,Danny Buijs,2,2.0,1,1,0
473638,Rotterdams,Sparta Rotterdam,2,1.0,2,0,0
473272,RKC Waalwijk fanaat bierfijnproever,RKC Waalwijk,2,1.0,2,0,0
473638,RTV Utrecht,FC Utrecht,2,1.0,2,0,0
473638,Putin,Michael Pinto,2,1.0,2,0,0
473638,Othman Boussaid,Othman Boussaid,2,5.0,0,0,2
473272,Ultee,Sjors Ultee,2,3.5,0,1,1
473272,Van den Buijs,Dario van den Buijs,2,1.0,2,0,0
473272,Wouters,Luuk Wouters,2,1.0,2,0,0
473272,geel,Nigel Lonwijk,2,1.0,2,0,0
473272,no Fortuna,Fortuna Sittard,2,1.0,2,0,0
